master_protein,0h_1_total,0h_2_total,0h_3_total,6h_1_total,6h_2_total,6h_3_total,6h_4_total,23h_1_total,23h_2_total,23h_3_total,0h_1_OOPS,0h_2_OOPS,0h_3_OOPS,6h_1_OOPS,6h_2_OOPS,6h_3_OOPS,6h_4_OOPS,23h_1_OOPS,23h_2_OOPS,23h_3_OOPS
A0AVT1,0.265834896,0.28049266,0.392211346,0.551450604,0.498195375,0.550081333,0.505032523,0.504967777,0.473144909,0.416754137,-0.218800946,-0.2679185,-0.065626599,-0.813759976,-0.510992591,-0.664434514,-0.4619651,-0.653765632,-0.576325562,-0.0514536
A1L0T0,0.361231724,0.281303028,0.312289041,-0.138852144,-0.099044168,-0.133141835,-0.153641589,-0.138432395,-0.124869107,-0.166344706,-0.271401224,-0.680333711,-1.148899148,-0.01383101,-0.091154106,-0.594946589,-0.065955772,-0.204481614,-0.665466064,-0.912000342
A1X283,0.569651955,0.568599728,0.511145948,0.511943926,0.62810864,0.574443791,0.608603414,0.617785012,0.472237772,0.657289679,0.43822385,0.649722265,0.502597104,-0.478234587,-0.159866856,-0.058893689,-0.263974022,-0.380804386,-0.2040181,0.299090403
A4D1E9,0.407071463,0.402606755,0.535424487,0.022089148,0.109982904,0.018131884,0.200565488,0.124300097,0.108893507,-0.084525315,-0.817821048,-0.895273829,-0.85881232,0.253700206,0.5346057,0.680970963,0.333579599,-0.182659511,-0.475945583,-0.776150969
A5YKK6,-0.49200512,-0.503495295,-0.574460307,-0.456496679,-0.449281133,-0.460204974,-0.421453135,-0.394813314,-0.351098273,-0.256794257,-0.63309225,-0.553218817,-0.583542488,-0.320970033,-0.454203565,-0.375367354,-0.319174896,0.186957374,0.148216478,0.205933392
A6NFI3,-1.006423644,-1.041820176,-1.023137045,-0.935212884,-0.931729671,-0.834672117,-0.917927789,-0.970449371,-0.969583202,-0.906001345,-0.258438917,-0.187937329,0.608350718,-0.614597189,-0.417282189,-0.493408563,-0.6841475,0.459155201,0.706628817,-0.423113813
A6NHR9,0.081336223,0.034936378,0.061805952,-0.104630482,-0.135174762,-0.070200885,-0.035539475,-0.009537564,0.015186589,-0.111403987,-0.130628216,-0.279720611,-0.207237848,-0.4286767,-0.463174369,-0.397637289,-0.186767153,-0.37038777,-0.471193445,-0.434236901
A8MWD9,0.073032972,-0.175343849,-0.417800754,-0.009478521,-0.173933787,-0.043428007,-0.09883403,0.073702781,-0.224530227,-0.090784306,1.520995606,1.74536227,1.899744444,1.233399717,1.086207485,0.696607857,0.619971875,1.00600656,1.366092004,1.82344902
A8MYA2,-0.731060793,-0.944544634,-1.186270341,-0.617823949,-0.701512898,-0.712181239,-0.664057136,-0.866069862,-0.912168109,-0.820652646,-0.522506032,-0.45271097,-0.719964658,-0.095903937,-0.152068485,-0.289678596,-0.432745943,-0.347006178,-0.195980781,-0.452691188
C9J798,-1.296934697,-0.897809873,-0.902342764,-1.067212953,-1.146966739,-0.952843935,-1.175667895,-1.092968362,-1.173990675,-0.731703212,-0.564964427,-0.777251854,-0.774321256,-0.804735412,-0.797687804,-1.026103754,-0.412904281,-0.50109862,-0.736549162,-0.59736474
